C10orf55	TNS1-AS1	AL117329.1	AC010789.1	LINC02672	LINC01537	LINC01940	AL023755.1	AC107419.1	AC011287.1	LINC01436	AC005064.1	CNTFR-AS1	UNC5B-AS1	HOXA11-AS	AC112206.2	LINC01234	PURPL	AC010343.3	LINC01605	AC091182.2	LINC02055	AP003555.1	LINC02688	AP000880.1	TBX5-AS1	RHOXF1-AS1	LINC00930	LINC01269	LINC02820	LINC01711	AC087623.2	AC010913.1	AC009159.3	FP236383.3	AC018865.2	AC092979.2	AL732437.2	condition
38	74	1	3	2	8	31	15	420	20	7	0	2	77	6	14	8	6	180	104	17	38	41	24	13	7	98	36	13	0	46	23	13	18	0	1	5	1	1
26	21	4	2	1	8	4	20	147	25	94	1	1	15	1	6	424	456	415	439	114	310	40	65	3	4	48	16	24	0	114	36	11	19	2	1	12	1	1
11	34	7	3	1	4	1	19	109	21	3	2	1	17	1	10	20	28	9	20	9	59	31	91	3	3	47	61	26	0	26	15	5	16	2	6	4	0	1
15	90	4	1	0	3	3	32	16	70	17	9	1	54	0	130	3	25	1	17	3	11	32	98	3	2	63	96	15	6	25	35	9	10	0	1	10	1	1
13	63	2	1	2	7	2	19	8	12	3	4	2	46	1	32	5	8	6	33	3	116	33	95	4	3	38	48	12	0	52	35	7	10	4	1	4	0	1
30	36	8	1	5	17	9	24	6	9	37	0	0	27	0	12	7	22	27	93	13	35	56	13	2	12	29	23	15	0	59	52	14	25	0	2	27	0	1
25	62	13	3	5	3	2	249	18	34	233	0	4	31	4	8	83	28	10	43	4	17	14	130	5	2	95	55	30	1	43	33	7	27	1	7	3	0	1
10	113	9	1	2	14	3	12	8	14	44	7	10	12	5	6	5	7	12	23	7	22	19	19	2	1	38	14	5	0	29	25	6	18	2640	1	227	2	1
22	31	381	12	0	8	0	4	0	609	10	0	0	81	0	6	4	8	53	39	18	8	72	14	10	16	40	8	16	0	29	40	7	33	2	5	10	0	1
26	45	0	1	2	37	27	1	1	6	86	1	1	107	15	9	5	13	13	117	26	5	54	60	12	1	498	6	15	0	802	18	8	47	1	22	0	0	1
