C10orf55	TNS1-AS1	AL117329.1	AC010789.1	LINC02672	LINC01537	LINC01940	AL023755.1	AC107419.1	AC011287.1	LINC01436	AC005064.1	CNTFR-AS1	UNC5B-AS1	HOXA11-AS	AC112206.2	LINC01234	PURPL	AC010343.3	LINC01605	AC091182.2	LINC02055	AP003555.1	LINC02688	AP000880.1	TBX5-AS1	RHOXF1-AS1	LINC00930	LINC01269	LINC02820	LINC01711	AC087623.2	AC010913.1	AC009159.3	FP236383.3	AC018865.2	AC092979.2	AL732437.2	condition
1.2017	0.6108	0.015	0.1377	0.9349	1.3353	0.3246	0.0297	0.0185	0.0283	0	0.5541	0	6.941	0.7241	0.0197	0.0624	0.0225	0.0387	12.0701	4.1362	0.0148	13.3425	8.1497	0.2115	0.0599	0.3022	0.4871	4.5983	0.2424	10.0193	1.0314	0.1742	0.7825	0	0	0	0.1068	1
1.2288	2.2485	0.0995	0	0.0531	0.2801	1.008	0.0202	0.0126	0.0064	54.7552	0	0	18.441	2.3034	0.0537	0.3967	0.1225	1.4256	3.4378	1.3356	0.0034	3.2845	19.4569	0.2162	0.1225	0.6524	0.0922	3.2771	1.1569	10.9991	0.8593	0.3562	2.4538	0	0.2297	0	0.182	1
0.2678	0.3812	0.005	0	0	0.1832	0	0.0265	0	0.0126	0.2676	0.0412	0	0.476	0.2331	0.0263	0	0	0.1554	0.5897	0.1941	0.0044	4.2131	0.9938	0.1414	0.1602	0.247	0.0965	0.9318	0	1.2761	0.613	0.0194	0.7674	0	0	0	0.0952	1
0.4185	1.3857	0.038	0.0822	0	0.184	0.1292	0.2835	0.4521	0.1353	1.2185	0	0.0289	1.0625	0	0.3881	0	0.5095	0.3006	1.7275	0.7798	0.0236	2.102	6.96	0.2525	0.0536	1.1728	0.5008	1.6222	0.2895	1.709	1.5051	0.2859	3.2701	0	0.0549	0.3498	0.0637	1
0.6664	1.4632	0.0025	0.0916	0.2592	0.205	0.456	0.2962	0	0.1884	9.8269	0.0307	0.0322	9.7111	0.7763	0.1442	0.0207	0.2391	0.2577	3.6308	2.4626	0.0788	9.8649	1.0457	0.2814	0.1594	1.877	0.4682	2.6426	0.6453	5.022	1.4489	0.1449	4.1656	9.4111	0.0204	0.4874	0.071	1
0.1925	0.8453	0.0086	0.1588	0.4792	0.0395	0	1.8709	0.0923	2.2645	2.077	0.0355	0.0744	0.821	0.0309	0.2272	0.012	0.1986	0.1935	0.6356	0.3347	0.0133	0.7836	0.5198	0.2032	0	1.1037	0.5721	0.8838	1.4912	1.1005	1.1454	0.2176	1.1431	0	1.8015	0.3942	0.0821	1
1.0033	1.4862	0.0268	0.197	1.0036	0.2205	0.1032	0.2549	0.1586	0.0811	3.0933	0.0661	0	1.5284	0.3455	5.3575	0.0298	0.1929	0.6652	0.8283	0.3116	0.0706	1.5914	0.7846	0.1513	0.0429	0.6489	0.6971	1.1967	0.347	2.6074	1.6402	0.1246	1.792	0.3278	0.0438	22.0141	0	1
0.3936	0.24	0	0	0.1312	0.7208	0	0.1666	0	0.0265	3.977	0.1037	0.0814	0.1998	0.1807	0.0664	0	0.0126	0.1957	1.1604	1.3444	0.0194	3.9535	0.8617	0.2968	0.0673	0.8201	1.5496	5.0459	0	1.8263	0.386	0.0978	2.1087	0	0.172	0.0822	0.03	1
0.262	2.2659	0.0142	0	5.373	0.1466	0.0686	0.2682	0.0527	0.0629	1.1992	0.0439	0.046	2.3701	0.2104	0.1124	0.0346	0.1709	0.1105	1.3762	0.3106	0.0962	6.1695	0.4519	0	0.057	1.0301	2.2651	0.2982	0.2306	1.114	1.1446	0.1657	0.9676	0.0136	0.1602	0.3483	0.0508	1
0.1448	0.7319	0.0031	0	0.0966	0.191	0.0149	0.0368	0.0076	0	1.8357	0.0382	0.02	1.0296	0.3989	0.0244	0.0172	0.0371	0.032	0.6491	0	0.0224	0.1531	3.3525	0.0437	0.0248	2.6226	0.8945	0.7773	0	1.6668	0.9471	0.1799	0.8407	0	0.0886	0	0	1
